A,B
0.00298186,0
0.036208478,0.000554787
0.08420248,0.001069722
0.154347561,0.001327189
0.24664372,0.001474313
0.335248033,0.001547875
0.427544192,0.001621437
0.523532197,0.001658218
0.619520202,0.001695
0.719200054,0.001731781
0.81518806,0.001768562
0.911176065,0.001805343
1.010855917,0.001842124
1.106843922,0.001842124
1.199140081,0.001878905
1.298819933,0.001915686
1.394807938,0.001915686
1.49448779,0.001952467
1.594167641,0.001952467
1.693847493,0.001989248
1.786143652,0.002026029
1.885823504,0.002026029
1.985503356,0.00206281
2.085183207,0.00206281
2.184863059,0.002099591
2.277159218,0.002136372
2.380530916,0.002136372
2.476518921,0.002173153
2.576198773,0.002173153
2.672186778,0.002209934
2.768174784,0.002209934
2.867854636,0.002209934
2.971226334,0.002246715
3.067214339,0.002283496
3.163202344,0.002283496
3.262882196,0.002320277
3.362562048,0.002320277
3.462241899,0.002320277
3.561921751,0.002357058
3.657909757,0.002393839
3.757589608,0.002393839
3.853577614,0.00243062
3.953257465,0.00243062
4.049245471,0.00243062
4.148925322,0.002467401
4.248605174,0.002504182
4.344593179,0.002504182
4.447964877,0.002504182
4.543952883,0.002540963
4.639940888,0.002577744
4.743312586,0.002577744
