Ic (A)

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000107271

-0.000144053

-0.000144053

-0.000107271

-0.000107271

-0.000107271

-0.000144053

-0.000144053

-0.000107271

-0.000144053

-0.000144053

-0.000107271

-0.000107271

-0.000144053

-0.000144053

-0.000107271

-0.000107271

-0.000144053

-0.000107271

-0.000144053

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000107271

-0.000144053

-0.000144053

-0.000144053

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000144053

-0.000107271

-0.000107271

-0.000107271

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000107271

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000107271

-0.000107271

-0.000144053

-0.000144053

-0.000107271

-0.000107271

-0.000144053

-0.000144053

-0.000107271

-0.000144053

-0.000107271

-0.000107271

-0.000144053

-0.000107271

-0.000144053

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000107271

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000107271

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000144053

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000107271

-0.000144053

-0.000144053

